Сфера культуры,Страна,Год,Значение,Предупреждение о подсчете,Детали предупреждения,Замечание
"Дизайн, мода и архитектура",Австрия,2015,24.24242,standart,standart,standart
"Дизайн, мода и архитектура",Австрия,2014,24.50704,standart,standart,standart
"Дизайн, мода и архитектура",Бельгия,2015,41.98187,standart,standart,standart
"Дизайн, мода и архитектура",Бельгия,2014,43.94744,standart,standart,standart
"Дизайн, мода и архитектура",Болгария,2015,11.19632,standart,standart,standart
"Дизайн, мода и архитектура",Болгария,2014,10.60606,standart,standart,standart
"Дизайн, мода и архитектура",Боливия,2011,16.70345,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Дизайн, мода и архитектура",Бразилия,2013,5.12848,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Дизайн, мода и архитектура",Бруней,2014,7.34515,standart,standart,standart
"Дизайн, мода и архитектура",Венгрия,2015,19.52045,standart,standart,standart
"Дизайн, мода и архитектура",Венгрия,2014,20.6949,standart,standart,standart
"Дизайн, мода и архитектура",Вьетнам,2015,7.89571,standart,standart,standart
"Дизайн, мода и архитектура",Гана,2014,5.37664,Over Coverage,Classification,Includes other occupation(s)
"Дизайн, мода и архитектура",Гондурас,2015,4.95587,standart,standart,standart
"Дизайн, мода и архитектура",Гондурас,2010,4.38601,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Дизайн, мода и архитектура",Доминикана,2013,40.06878,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Дизайн, мода и архитектура",Израиль,2014,34.78507,standart,standart,standart
"Дизайн, мода и архитектура",Кабо-Верде,2015,13.07515,standart,standart,standart
"Дизайн, мода и архитектура",Каймановы острова,2016,27.22513,standart,standart,standart
"Дизайн, мода и архитектура",Канада,2015,33.09829,standart,standart,standart
"Дизайн, мода и архитектура",Кипр,2015,28.2354,standart,standart,standart
"Дизайн, мода и архитектура",Коста-Рика,2015,15.6392,standart,standart,standart
"Дизайн, мода и архитектура",Латвия,2015,23.57895,standart,standart,standart
"Дизайн, мода и архитектура",Латвия,2014,22.69939,standart,standart,standart
"Дизайн, мода и архитектура",Литва,2015,16.51821,standart,standart,standart
"Дизайн, мода и архитектура",Литва,2014,19.05005,standart,standart,standart
"Дизайн, мода и архитектура",Люксембург,2015,17.47393,standart,standart,standart
"Дизайн, мода и архитектура",Люксембург,2014,13.59741,standart,standart,standart
"Дизайн, мода и архитектура",Малайзия,2015,30.23599,standart,standart,standart
"Дизайн, мода и архитектура",Малайзия,2014,28.90208,standart,standart,standart
"Дизайн, мода и архитектура",Мали,2015,79.61876,standart,standart,standart
