Страна,Год,Значение,Предупреждение о подсчете,Детали предупреждения,Замечание
Ангола,2014,36.43096,standart,standart,standart
Армения,2014,45.47881,standart,standart,standart
Армения,2015,45.83317,standart,standart,standart
Австрия,2014,36.69014,standart,standart,standart
Австрия,2015,36.2963,standart,standart,standart
Бельгия,2014,40.80658,standart,standart,standart
Бельгия,2015,42.73327,standart,standart,standart
Болгария,2014,69.2185,standart,standart,standart
Болгария,2015,66.56442,standart,standart,standart
Босния и Герцеговина,2014,52.2435,standart,standart,standart
Босния и Герцеговина,2015,53.145,Over Coverage,Classification,Includes other occupation(s)
Бермуды,2010,46.19094,standart,standart,standart
Боливия,2011,26.0343,Over Coverage,FCS domains,Includes Intangible cultural heritage
Боливия,2015,39.25948,Over Coverage,Classification,Includes other occupation(s)
Бразилия,2013,62.45258,Over Coverage,FCS domains,Includes Intangible cultural heritage
Бруней,2014,45.07928,standart,standart,standart
Канада,2015,48.76961,standart,standart,standart
Швейцария,2014,40.42158,standart,standart,standart
Чили,2013,46.75095,Over Coverage,FCS domains,Includes Intangible cultural heritage
Чили,2016,46.87287,standart,standart,standart
Кабо-Верде,2015,24.17836,standart,standart,standart
Коста-Рика,2015,45.55289,standart,standart,standart
Каймановы острова,2016,43.56021,standart,standart,standart
Кипр,2014,48.07127,standart,standart,standart
Кипр,2015,47.83086,standart,standart,standart
Чехия,2014,52.40997,standart,standart,standart
Чехия,2015,48.5698,standart,standart,standart
Германия,2014,41.44568,standart,standart,standart
Германия,2015,41.68815,standart,standart,standart
Дания,2013,53.52748,standart,standart,standart
Дания,2014,52.64156,standart,standart,standart
Доминикана,2013,19.38141,Over Coverage,FCS domains,Includes Intangible cultural heritage
Эквадор,2013,26.74977,Over Coverage,FCS domains,Includes Intangible cultural heritage
Эквадор,2015,47.39423,standart,standart,standart
Испания,2014,40.81627,standart,standart,standart
Испания,2015,41.86089,standart,standart,standart
Эстония,2014,58.14414,standart,standart,standart
Эстония,2015,62.64014,standart,standart,standart
Финляндия,2014,52.08895,standart,standart,standart
Финляндия,2015,51.27314,Over Coverage,Classification,Includes other occupation(s)
Франция,2014,39.43356,standart,standart,standart
Франция,2015,40.32696,standart,standart,standart
Гана,2014,61.18933,Over Coverage,Classification,Includes other occupation(s)
Греция,2015,49.51691,standart,standart,standart
Гондурас,2010,47.1186,Over Coverage,FCS domains,Includes Intangible cultural heritage
Гондурас,2015,45.94235,standart,standart,standart
Хорватия,2015,51.15133,standart,standart,standart
Венгрия,2014,41.0374,standart,standart,standart
Венгрия,2015,47.49379,standart,standart,standart
Исландия,2015,47.61905,standart,standart,standart
Израиль,2014,55.42515,standart,standart,standart
Италия,2014,43.98974,standart,standart,standart
Италия,2015,43.3532,standart,standart,standart
Южная Корея,2014,53.66417,Over Coverage,Classification,Includes other occupation(s)
Южная Корея,2015,54.33203,Over Coverage,Classification,Includes other occupation(s)
Шри-Ланка,2015,66.61188,standart,standart,standart
Литва,2014,61.72907,standart,standart,standart
Литва,2015,67.49592,standart,standart,standart
Люксембург,2014,48.33468,standart,standart,standart
Люксембург,2015,54.65354,standart,standart,standart
Латвия,2014,61.96319,standart,standart,standart
Латвия,2015,63.57895,standart,standart,standart
Молдова,2014,75.05072,standart,standart,standart
Молдова,2015,73.75489,standart,standart,standart
Мальдивы,2014,79.18566,Over Coverage,Classification,Includes other occupation(s)
Мексика,2014,40.861,standart,standart,standart
Мексика,2015,38.45784,Over Coverage,Classification,Includes other occupation(s)
Северная Македония,2014,49.09974,standart,standart,standart
Северная Македония,2015,49.79055,standart,standart,standart
Мали,2014,27.4935,standart,standart,standart
Мали,2015,51.42626,standart,standart,standart
Мальта,2014,25.60395,standart,standart,standart
Мальта,2015,35.88052,Over Coverage,Classification,Includes other occupation(s)
Монголия,2014,43.52608,standart,standart,standart
Монголия,2015,55.56088,standart,standart,standart
Мозамбик,2014,10.86189,standart,standart,standart
Малайзия,2014,55.43027,standart,standart,standart
Малайзия,2015,58.70206,standart,standart,standart
Нидерланды,2014,39.33934,standart,standart,standart
Нидерланды,2015,40.48338,standart,standart,standart
Пакистан,2014,37.28222,standart,standart,standart
Пакистан,2015,37.41897,Over Coverage,Classification,Includes other occupation(s)
Пакистан,2015,37.41897,Over Coverage,FCS domains,Includes Intangible cultural heritage
Панама,2013,53.87071,Over Coverage,FCS domains,Includes Intangible cultural heritage
Панама,2013,53.87071,Over Coverage,Methodology,Cultural employment is overestimated
Панама,2016,57.00051,standart,standart,standart
Перу,2013,46.2744,Over Coverage,FCS domains,Includes Intangible cultural heritage
Филиппины,2014,57.63381,standart,standart,standart
Филиппины,2015,57.79631,standart,standart,standart
Пуэрто-Рико,2014,39.13768,standart,standart,standart
Пуэрто-Рико,2015,37.4964,standart,standart,standart
Португалия,2014,45.10746,standart,standart,standart
Португалия,2015,46.80978,standart,standart,standart
Парагвай,2010,37.8565,Over Coverage,FCS domains,Includes Intangible cultural heritage
Палестина,2014,20.0,standart,standart,standart
Палестина,2015,16.0,Over Coverage,Classification,Includes other occupation(s)
Румыния,2014,65.89436,standart,standart,standart
Румыния,2015,64.00869,standart,standart,standart
Россия,2014,54.12421,standart,standart,standart
Сальвадор,2013,11.79154,Over Coverage,FCS domains,Includes Intangible cultural heritage
Сербия,2014,53.9959,standart,standart,standart
Сербия,2015,53.69303,standart,standart,standart
Словакия,2014,44.05671,standart,standart,standart
Словакия,2015,47.10556,standart,standart,standart
Словения,2014,47.31385,Over Coverage,Classification,Includes other occupation(s)
Словения,2015,47.38164,Over Coverage,Classification,Includes other occupation(s)
Словения,2016,47.79167,Over Coverage,Classification,Includes other occupation(s)
Швеция,2014,51.19315,standart,standart,standart
Швеция,2015,51.94289,standart,standart,standart
Синт-Мартен,2013,35.36151,standart,standart,standart
Того,2015,44.00955,standart,standart,standart
Таиланд,2014,50.24358,standart,standart,standart
Таиланд,2015,51.88514,standart,standart,standart
Турция,2014,36.71719,standart,standart,standart
Турция,2015,38.03067,standart,standart,standart
Уганда,2012,39.69148,standart,standart,standart
Уругвай,2013,25.57098,Over Coverage,FCS domains,Includes Intangible cultural heritage
Вьетнам,2014,57.9459,standart,standart,standart
Вьетнам,2015,58.11572,standart,standart,standart
ЮАР,2014,41.37888,standart,standart,standart
