Сфера культуры,Страна,Год,Значение,Предупреждение о подсчете,Детали предупреждения,Замечание
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Бельгия,2015,53.15634,Qualifier,Data quality,"Low reliability, use with caution"
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Бельгия,2014,41.44857,Qualifier,Data quality,"Low reliability, use with caution"
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Боливия,2011,67.58839,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Бразилия,2013,54.84508,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Венгрия,2014,30.24194,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Вьетнам,2015,47.48687,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Гана,2014,50.62288,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Гондурас,2015,24.54456,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Гондурас,2010,61.08855,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Доминикана,2013,61.23336,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Израиль,2014,49.10829,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Исландия,2015,0.0,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Кабо-Верде,2015,82.75862,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Каймановы острова,2016,63.07692,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Канада,2015,50.38402,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Коста-Рика,2015,64.24832,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Латвия,2015,78.43137,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Латвия,2014,69.23077,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Литва,2015,79.14535,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Литва,2014,68.85174,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Люксембург,2015,29.45736,Qualifier,Data quality,"Low reliability, use with caution"
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Люксембург,2014,8.31643,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Малайзия,2015,45.45455,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Малайзия,2014,70.0,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Мали,2015,0.0,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Мальта,2014,0.0,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Мексика,2015,56.12571,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Мексика,2014,61.64764,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Нидерланды,2015,62.5,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Нидерланды,2014,55.55556,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Пакистан,2015,0.0,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Пакистан,2014,5.43242,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Панама,2016,66.71053,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Панама,2013,53.05466,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Парагвай,2010,60.11001,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Перу,2013,27.79546,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Пуэрто-Рико,2015,33.9771,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Пуэрто-Рико,2014,49.4709,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Россия,2014,47.27094,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Румыния,2015,40.02118,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Сальвадор,2013,9.81169,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Сербия,2015,61.25044,Qualifier,Data quality,"Low reliability, use with caution"
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Сербия,2014,49.30218,Qualifier,Data quality,"Low reliability, use with caution"
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Словакия,2015,75.0,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Словения,2016,43.87283,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Словения,2015,43.88503,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Словения,2014,44.90006,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Таиланд,2015,66.23582,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Таиланд,2014,69.2783,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Того,2015,27.72676,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Турция,2015,19.52907,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Турция,2014,18.26329,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Уганда,2012,100.0,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Уругвай,2013,54.16534,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Финляндия,2015,54.86906,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Финляндия,2014,61.84211,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Франция,2015,50.0235,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Франция,2014,64.61626,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Чехия,2015,47.11369,Qualifier,Data quality,"Low reliability, use with caution"
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Чили,2016,49.456,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Чили,2013,44.64617,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Швейцария,2014,44.9109,Qualifier,Data quality,"Low reliability, use with caution"
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Швеция,2015,51.47059,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Швеция,2014,56.09756,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Эквадор,2015,18.93695,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Эквадор,2013,32.13609,Over Coverage,FCS domains,Includes Intangible cultural heritage
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Эстония,2015,71.97411,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,ЮАР,2014,41.62704,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Южная Корея,2015,44.44444,standart,standart,standart
CE.RA.SEX.2.OV.OCCDOMAIN1.1,Южная Корея,2014,46.15385,standart,standart,standart
