indicatorId,geoUnit,year,value,qualifier,magnitude
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,AUT,2014,3.30986,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,BEL,2014,2.1333,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,BEL,2015,4.21728,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,BOL,2011,3.47951,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,BRA,2013,0.94551,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,BRN,2014,4.37531,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,CAN,2015,9.36825,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,CHE,2014,2.71618,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,CHL,2013,15.75633,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,CHL,2016,13.59719,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,CPV,2015,1.03038,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,CRI,2015,0.62912,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,CYM,2016,6.80628,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,CZE,2015,3.03419,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,DOM,2013,4.35045,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,ECU,2013,20.8451,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,ECU,2015,1.73897,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,EST,2014,4.34282,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,EST,2015,5.06458,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,FIN,2014,5.12129,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,FIN,2015,5.14622,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,FRA,2014,3.08016,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,FRA,2015,2.4481,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,GHA,2014,0.32629,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,HND,2010,1.13214,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,HND,2015,0.53461,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,HUN,2014,2.84794,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,HUN,2015,2.37304,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,ISL,2015,0,,NA
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,ISR,2014,3.52749,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,KOR,2014,0.75014,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,KOR,2015,1.00615,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,LTU,2014,4.46308,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,LTU,2015,5.83812,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,LUX,2014,3.98545,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,LUX,2015,2.51437,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,LVA,2014,10.63395,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,LVA,2015,10.73684,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,MEX,2014,5.7754,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,MEX,2015,5.38988,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,MLI,2015,0,,NIL
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,MLT,2014,1.33383,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,MYS,2014,0.59347,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,MYS,2015,0.2704,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,NLD,2014,2.7027,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,NLD,2015,2.41692,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,PAK,2014,0.20464,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,PAK,2015,0.55589,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,PAN,2013,0.76371,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,PAN,2016,0.94897,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,PER,2013,8.82627,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,PRI,2014,4.29643,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,PRI,2015,4.783,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,PRY,2010,5.57409,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,ROU,2015,1.22821,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,RUS,2014,15.66675,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,SLV,2013,6.48374,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,SRB,2014,3.03331,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,SRB,2015,2.69531,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,SVK,2014,1.85387,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,SVK,2015,3.17821,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,SVN,2014,11.43497,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,SVN,2015,11.51669,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,SVN,2016,11.34773,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,SWE,2014,4.44216,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,SWE,2015,3.6745,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,TGO,2015,10.18322,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,THA,2014,20.70808,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,THA,2015,21.17901,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,TUR,2014,1.75668,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,TUR,2015,1.84274,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,UGA,2012,0.39421,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,URY,2013,14.16942,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,VNM,2015,5.48176,,
CE.RA.OCCDOMAIN1.1.OV.CULOCC1.1,ZAF,2014,12.08588,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,AUT,2014,6.69014,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,AUT,2015,6.59933,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,BEL,2014,6.53882,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,BEL,2015,6.4466,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,BGR,2014,5.90112,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,BGR,2015,5.59816,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,BOL,2011,0,,NIL
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,BRA,2013,3.14875,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,BRN,2014,10.32939,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,CAN,2015,8.01554,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,CHE,2014,4.24655,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,CHL,2013,5.16418,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,CHL,2016,5.35419,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,CPV,2015,10.99662,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,CRI,2015,1.10107,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,CYM,2016,7.95812,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,CYP,2015,4.91488,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,CZE,2015,4.11645,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,DOM,2013,22.73791,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,ECU,2013,0.16396,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,ECU,2015,1.21085,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,EST,2014,4.50833,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,EST,2015,6.51019,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,FIN,2014,4.78437,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,FIN,2015,3.86719,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,FRA,2014,5.41913,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,FRA,2015,5.29409,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,GHA,2014,1.47978,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,HND,2010,0.80013,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,HND,2015,0.17242,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,HUN,2014,5.10016,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,HUN,2015,8.09113,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,ISL,2015,0,,NA
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,ISR,2014,4.74626,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,KOR,2014,1.78881,,
